personId,firstName,lastName,height,bodyWeight,draftYear
76515,Aubrey,Davis,74.0,175.0,-1.0
76530,Michael,Davis,82.0,230.0,-1.0
76532,Ralph,Davis,76.0,76532.0,1960.0
76541,Paul,Dawkins,77.0,76541.0,1979.0
76542,Tony,Dawson,79.0,76542.0,-22.0
76548,Red,Dehnert,,76548.0,-22.0
76552,Fennis,Dembo,77.0,76552.0,1988.0
76558,Randy,Denton,82.0,76558.0,1971.0
76562,Hank,DeZonie,77.0,215.0,-1.0
76563,Henry,Dickerson,76.0,190.0,-1.0
76566,Connie,Dierking,82.0,76566.0,1958.0
76567,Coby,Dietrick,83.0,76567.0,1970.0
76570,Bob,Dille,75.0,190.0,-1.0
76574,Byron,Dinkins,73.0,170.0,-1.0
